δίας	10
δρόμο	10
θες	10
αυτές	10
μάντης	10
όλη	10
μέρα	10
γαίμα	10
ξέρω	10
έχης	10
πιστεύω	10
πρώτη	10
μπρος	10
μπορεί	10
μεγάλο	10
αντίς	10
εχθρούς	10
ευτυχία	10
καν	10
κοντάρι	10
είταν	10
εχθρών	10
αξίζει	10
καιρόν	10
μεγάλη	10
σπαθί	10
δώση	10
αιγισθος	10
ήσαν	10
ομιλούν	10
θέσιν	10
καλύτερα	10
λέγετε	10
όλην	10
σοφίας	10
απήντησα	10
αλήθειαν	10
μίαν	9
δίκαιον	9
γίνεται	9
τώρ	9
ξέρει	9
βαρύ	9
παιδιών	9
κόρη	9
σημάδι	9
παλάτια	9
σοφός	9
λαού	9
φθάνει	9
μένει	9
ήρθε	9
γνώση	9
όλο	9
μόνος	9
νύχτα	9
πέφτει	9
θενά	9
πόλεως	9
καθένας	9
μένα	9
κάποιος	9
άρης	9
βασιλιά	9
είχα	9
τόση	9
φίλοι	9
έναν	9
θεού	9
καθ	9
πύργους	9
εσένα	9
δικός	9
θάνατος	9
μέρος	9
εξ	9
φιλοσοφία	9
θήβας	9
οιδίποδα	9
φοβούμαι	9
οπωσδήποτε	9
ηλικίαν	9
κλεινίαν	9
είδος	9
εαυτόν	9
ολίγον	9
ωμολόγησες	9
όλως	9
κάμνουν	9
πραγματικώς	9
κτήσιππε	9
καλοί	9
έλα	9
επιστήμων	9
μόνη	8
οποίας	8
πράμα	8
μόλις	8
καλός	8
δεξιά	8
κάποια	8
αφορμή	8
σύμφωνα	8
καρδιάς	8
βωμούς	8
πολλές	8
άντρας	8
νά	8
μάτι	8
χώμα	8
φίλον	8
εμάς	8
θέλουν	8
ποιο	8
λόγο	8
κάπου	8
γένος	8
έπρεπε	8
σύμφωνος	8
ζωή	8
ήθελε	8
μάννα	8
φόνο	8
τέλους	8
αρκετά	8
κηρυξ	8
δα	8
κοντά	8
σοφούς	8
μέσον	8
βλέπουν	8
έχομεν	8
νέον	8
ολιγώτερον	8
αμαθείς	8
γνωρίζης	8
παραδείγματος	8
εκείνη	8
είχαμεν	8
διαφορετικόν	8
ζώα	8
γνωρίζετε	8
αγαμέμνων	7
τω	7
μετά	7
ψηλά	7
πικρό	7
τρόπο	7
τύχης	7
φωνή	7
συμβαίνει	7
στρατού	7
σημάδια	7
νίκη	7
άνθρωπο	7
αργείων	7
ανθρώπου	7
φορές	7
ακούσης	7
πότε	7
φτάνει	7
πιότερα	7
αντρός	7
άξιος	7
άντρες	7
χρόνια	7
τόσες	7
βασιλιάς	7
ίδια	7
κάστρα	7
άγρια	7
κύμα	7
πιότερο	7
ίδιο	7
πόρτες	7
ψυχή	7
πέση	7
ενός	7
μοιρολόγια	7
ιδού	7
φίλους	7
είπες	7
εκτός	7
όλας	7
έκαμε	7
έπειτα	7
είχαν	7
σειρά	7
πρόκειται	7
επτά	7
τούτο	7
τελείως	7
βέβαιος	7
γράμματα	7
εκείνου	7
αρκεί	7
διονυσόδωρον	7
εκείνην	7
σκοπόν	7
κάπως	7
ευθυδήμου	7
ειπή	7
ξένους	7
γνωρίζη	7
έργον	7
ολίγου	7
είπαμεν	7
ήδη	7
είσθε	7
βεβαιότατα	7
παραδέχεσαι	7
ηρώτησα	7
κτήσιππον	7
ψυχήν	7
έλεγες	7
βιβλιοθηκη	6
αρχαιων	6
ελληνων	6
συγγραφεων	6
ι	6
δράμα	6
χορός	6
